,LASSO,RIDGE
0.1,8.717292068710197,8.889356133438515
0.1473684210526316,8.718860340725469,8.876077422604988
0.19473684210526315,8.721928222890684,8.863944567778526
0.24210526315789474,8.726985445190744,8.8528050004274
0.2894736842105263,8.733019557680866,8.842483096095108
0.33684210526315794,8.738213481652087,8.832909820149176
0.38421052631578945,8.742646487884151,8.82399957312331
0.43157894736842106,8.74729284496296,8.815811121471029
0.4789473684210527,8.752315151728446,8.80830119665652
0.5263157894736842,8.757706359030701,8.801360613784897
0.5736842105263158,8.763424083170493,8.794939960131739
0.6210526315789474,8.769528262568436,8.78899394681315
0.6684210526315789,8.775480531197584,8.783468656457543
0.7157894736842105,8.781410534919933,8.778326465658857
0.7631578947368421,8.787413431489973,8.773560573333189
0.8105263157894737,8.793801378534598,8.769033939907056
0.8578947368421053,8.800575798081345,8.764736345016402
0.9052631578947369,8.807564837510293,8.760651905476697
0.9526315789473684,8.814772423034642,8.756746595403428
1.0,8.82224227990608,8.753016380563833
